location,claim,value,raw_data,config,command,output_table
Abstract; Sec.VI,"Range of mean |difference| between implementations, normalised by Cmax",0.001 to 0.096,results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_F1_implementation_contrast.csv
Abstract; Table IV,Rate at which the selected method changes (scope: 3 mitigated methods),74.7% of 360 cells,results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_winner_summary.csv
Table IV,Same rate with the unmitigated option included in the candidate set,74.7%,results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_winner_summary.csv
Table IV,Near-tie rate (best vs second-best within 0.01 Cmax),53.3%,results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_winner_summary.csv
Abstract; Table IV,"Split-sample excess regret attributable to the defect (select on replicate 0, pay on replicate 1)","0.0067 of Cmax (defective 0.0226, corrected 0.0159)",results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_winner_summary.csv
Table II,"Implementation contrast, rem on dev_algiers","signed +0.0001 strat CI[-0.0001,+0.0002] cluster CI[-0.0001,+0.0004] mean|.|=0.0007 directionality=0.13 p_BH=2.927e-01",results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_F1_implementation_contrast.csv
Table II,"Implementation contrast, zne on dev_algiers","signed +0.0623 strat CI[+0.0597,+0.0649] cluster CI[+0.0328,+0.0971] mean|.|=0.0630 directionality=0.99 p_BH=3.672e-30",results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_F1_implementation_contrast.csv
Table II,"Implementation contrast, zne_rem on dev_algiers","signed +0.0728 strat CI[+0.0698,+0.0757] cluster CI[+0.0396,+0.1119] mean|.|=0.0732 directionality=0.99 p_BH=3.478e-30",results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_F1_implementation_contrast.csv
Table II,"Implementation contrast, rem on dev_lagos","signed -0.0377 strat CI[-0.0466,-0.0283] cluster CI[-0.0483,-0.0297] mean|.|=0.0594 directionality=0.64 p_BH=2.768e-14",results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_F1_implementation_contrast.csv
Table II,"Implementation contrast, zne on dev_lagos","signed -0.0211 strat CI[-0.0222,-0.0200] cluster CI[-0.0357,-0.0092] mean|.|=0.0218 directionality=0.97 p_BH=2.918e-28",results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_F1_implementation_contrast.csv
Table II,"Implementation contrast, zne_rem on dev_lagos","signed -0.0581 strat CI[-0.0726,-0.0432] cluster CI[-0.0762,-0.0389] mean|.|=0.0957 directionality=0.61 p_BH=3.017e-13",results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_F1_implementation_contrast.csv
Table III,"Bias and variance, none/dev_algiers/v2","bias -0.0297 CI[-0.0300,-0.0294] sd 0.0021 rmse 0.0299",results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_bias_variance.csv
Table III,"Bias and variance, rem/dev_algiers/legacy","bias -0.0241 CI[-0.0246,-0.0237] sd 0.0032 rmse 0.0245",results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_bias_variance.csv
Table III,"Bias and variance, rem/dev_algiers/v2","bias -0.0240 CI[-0.0245,-0.0236] sd 0.0033 rmse 0.0244",results/v2r2/raw/confirm.jsonl,configs/v2/confirm_round2.yaml,python experiments/v2/analyze_round2.py,results/v2r2/processed/R2_bias_variance.csv
