task,noise,method,crossover_budget
qaoa_p1,dev_algiers,rem,1500
qaoa_p1,dev_lagos,rem,3000
qaoa_p1,dev_lagos,zne,1500
qaoa_p1,param_lam0.5,rem,1500
qaoa_p1,param_lam0.5,zne,12000
qaoa_p1,param_lam0.5,zne_rem,3000
qaoa_p1,param_lam1,rem,1500
qaoa_p1,param_lam1,zne,3000
qaoa_p1,param_lam1,zne_rem,1500
qaoa_p1,param_lam2,rem,1500
qaoa_p1,param_lam2,zne,3000
qaoa_p1,param_lam2,zne_rem,1500
tfim,dev_algiers,rem,3000
tfim,dev_algiers,zne,6000
tfim,dev_algiers,zne_rem,6000
tfim,dev_lagos,rem,3000
tfim,dev_lagos,zne,1500
tfim,dev_lagos,zne_rem,12000
tfim,param_lam0.5,rem,3000
tfim,param_lam0.5,zne,12000
tfim,param_lam0.5,zne_rem,3000
tfim,param_lam1,rem,1500
tfim,param_lam1,zne,3000
tfim,param_lam1,zne_rem,1500
tfim,param_lam2,rem,1500
tfim,param_lam2,zne,1500
tfim,param_lam2,zne_rem,1500
