task,noise,budget,method,verdict,mean_err,base_err,ratio
qaoa_p1,dev_algiers,1500,rem,helps,0.10283306123159948,0.2006891324134598,0.5123997497768977
qaoa_p1,dev_algiers,1500,zne,harms,0.9527775342532045,0.2006891324134598,4.747529289679185
qaoa_p1,dev_algiers,1500,zne_rem,harms,1.0700124022397894,0.2006891324134598,5.331690806432656
qaoa_p1,dev_algiers,3000,rem,helps,0.13715735697702253,0.22205579908012654,0.6176706825275512
qaoa_p1,dev_algiers,3000,zne,harms,0.9727775342532065,0.22205579908012654,4.380779688181842
qaoa_p1,dev_algiers,3000,zne_rem,harms,1.0900443013699905,0.22205579908012654,4.908875633446796
qaoa_p1,dev_algiers,6000,rem,helps,0.17545661919934305,0.2075557990801265,0.8453467451979425
qaoa_p1,dev_algiers,6000,zne,harms,0.9613275342532072,0.2075557990801265,4.631658274612161
qaoa_p1,dev_algiers,6000,zne_rem,harms,1.0723751544528792,0.2075557990801265,5.166683654253818
qaoa_p1,dev_algiers,12000,rem,helps,0.16689250221328553,0.20504746574679303,0.8139213113678571
qaoa_p1,dev_algiers,12000,zne,harms,0.9870025342532062,0.20504746574679303,4.813531982258323
qaoa_p1,dev_algiers,12000,zne_rem,harms,1.0379689812878443,0.20504746574679303,5.0620912455928675
qaoa_p1,dev_algiers,24000,rem,helps,0.15818789675944123,0.20190996574679324,0.7834575979167764
qaoa_p1,dev_algiers,24000,zne,harms,1.0073400342532064,0.20190996574679324,4.989055545264511
qaoa_p1,dev_algiers,24000,zne_rem,harms,1.0802440093244037,0.20190996574679324,5.3501272477015425
qaoa_p1,dev_lagos,1500,rem,inconclusive,1.248450197661222,1.0010891324134596,1.2470919493965695
qaoa_p1,dev_lagos,1500,zne,helps,0.556022465746795,1.0010891324134596,0.555417542498256
qaoa_p1,dev_lagos,1500,zne_rem,inconclusive,1.4128873945171982,1.0010891324134596,1.4113502472162107
qaoa_p1,dev_lagos,3000,rem,helps,0.5150196074121276,0.9926557990801264,0.5188299991692847
qaoa_p1,dev_lagos,3000,zne,helps,0.6381224657467975,0.9926557990801264,0.6428436385886552
qaoa_p1,dev_lagos,3000,zne_rem,inconclusive,0.8376906699283335,0.9926557990801264,0.8438883555655486
qaoa_p1,dev_lagos,6000,rem,helps,0.5360914204573276,1.0056057990801268,0.5331029524170552
qaoa_p1,dev_lagos,6000,zne,helps,0.5147724657467948,1.0056057990801268,0.5119028412700887
qaoa_p1,dev_lagos,6000,zne_rem,inconclusive,1.0680758015323675,1.0056057990801268,1.0621217603452415
qaoa_p1,dev_lagos,12000,rem,helps,0.46234358442775847,1.004322465746793,0.4603537212363058
qaoa_p1,dev_lagos,12000,zne,helps,0.5508724657467949,1.004322465746793,0.5485015864274009
qaoa_p1,dev_lagos,12000,zne_rem,harms,1.4514499423906424,1.004322465746793,1.4452031014873044
qaoa_p1,dev_lagos,24000,rem,helps,0.34982128286380004,1.00231413241346,0.34901361913502077
qaoa_p1,dev_lagos,24000,zne,helps,0.5372849657467962,1.00231413241346,0.5360444878224697
qaoa_p1,dev_lagos,24000,zne_rem,harms,1.407870947371327,1.00231413241346,1.404620469613984
qaoa_p1,ideal,1500,rem,inconclusive,0.03247768036794927,0.03528884018397473,0.9203385602538998
qaoa_p1,ideal,1500,zne,inconclusive,0.033488986298720214,0.03528884018397473,0.9489965134622966
qaoa_p1,ideal,1500,zne_rem,inconclusive,0.03550000000000075,0.03528884018397473,1.0059837561938891
qaoa_p1,ideal,3000,rem,inconclusive,0.025208333333333145,0.023177826482691975,1.087605576483086
qaoa_p1,ideal,3000,zne,inconclusive,0.03298898629872005,0.023177826482691975,1.4232993901889182
qaoa_p1,ideal,3000,zne_rem,inconclusive,0.03906398629871895,0.023177826482691975,1.6854033456454578
qaoa_p1,ideal,6000,rem,inconclusive,0.015501486298717193,0.009494493149358529,1.632681814064452
qaoa_p1,ideal,6000,zne,harms,0.030244493149361416,0.009494493149358529,3.185477378685013
qaoa_p1,ideal,6000,zne_rem,harms,0.032343006850640864,0.009494493149358529,3.4065016785889237
qaoa_p1,ideal,12000,rem,inconclusive,0.00713764611474268,0.005780652965383925,1.2347473819107957
qaoa_p1,ideal,12000,zne,harms,0.01771949314935801,0.005780652965383925,3.0653099667921615
qaoa_p1,ideal,12000,zne_rem,harms,0.018595236298720952,0.005780652965383925,3.216805507971873
qaoa_p1,ideal,24000,rem,inconclusive,0.007663687781409223,0.005713986298717178,1.3412156383941214
qaoa_p1,ideal,24000,zne,inconclusive,0.007683479448077524,0.005713986298717178,1.3446793615522858
qaoa_p1,ideal,24000,zne_rem,inconclusive,0.011408479448077546,0.005713986298717178,1.996588520108775
qaoa_p1,param_lam0.5,1500,rem,helps,0.05721602584814685,0.14948913241345982,0.3827437147062818
qaoa_p1,param_lam0.5,1500,zne,inconclusive,0.12277797259743961,0.14948913241345982,0.8213170456957233
qaoa_p1,param_lam0.5,1500,zne_rem,inconclusive,0.09679672822246603,0.14948913241345982,0.6475168238634488
qaoa_p1,param_lam0.5,3000,rem,helps,0.06863309976486383,0.15342246574679316,0.4473471302314694
qaoa_p1,param_lam0.5,3000,zne,inconclusive,0.12312246574680116,0.15342246574679316,0.802506107221619
qaoa_p1,param_lam0.5,3000,zne_rem,helps,0.053308236647542986,0.15342246574679316,0.3474604347418216
qaoa_p1,param_lam0.5,6000,rem,helps,0.10496761762075409,0.15090579908012652,0.6955837234924245
qaoa_p1,param_lam0.5,6000,zne,inconclusive,0.1074224657467985,0.15090579908012652,0.7118511442344263
qaoa_p1,param_lam0.5,6000,zne_rem,helps,0.0582607557049891,0.15090579908012652,0.3860736701977527
qaoa_p1,param_lam0.5,12000,rem,helps,0.10451030216740058,0.15550579908012646,0.6720669118812105
qaoa_p1,param_lam0.5,12000,zne,helps,0.09394746574679776,0.15550579908012646,0.6041412365489345
qaoa_p1,param_lam0.5,12000,zne_rem,helps,0.040778487442715686,0.15550579908012646,0.26223129737884576
qaoa_p1,param_lam0.5,24000,rem,helps,0.09636856627180723,0.1554557990801265,0.619909754682976
qaoa_p1,param_lam0.5,24000,zne,helps,0.10173496574679666,0.1554557990801265,0.6544301746785237
qaoa_p1,param_lam0.5,24000,zne_rem,helps,0.037208614690793326,0.1554557990801265,0.23935173155949563
qaoa_p1,param_lam1,1500,rem,helps,0.05228669167929949,0.28248913241345974,0.18509275465780073
qaoa_p1,param_lam1,1500,zne,inconclusive,0.19317797259743869,0.28248913241345974,0.6838421391542153
qaoa_p1,param_lam1,1500,zne_rem,helps,0.18436849085836426,0.28248913241345974,0.6526569333241354
qaoa_p1,param_lam1,3000,rem,helps,0.1025353622506449,0.2894224657467931,0.35427575390899324
qaoa_p1,param_lam1,3000,zne,helps,0.19292246574679703,0.2894224657467931,0.6665773689993334
qaoa_p1,param_lam1,3000,zne_rem,helps,0.15392417039647865,0.2894224657467931,0.5318321437118231
qaoa_p1,param_lam1,6000,rem,helps,0.17979675716812035,0.2814557990801266,0.6388099223954334
qaoa_p1,param_lam1,6000,zne,helps,0.16242797259743913,0.2814557990801266,0.5770993993667834
qaoa_p1,param_lam1,6000,zne_rem,helps,0.08374379962915794,0.2814557990801266,0.29753801450478284
qaoa_p1,param_lam1,12000,rem,helps,0.18495708103391947,0.2847141324134599,0.6496238155306112
qaoa_p1,param_lam1,12000,zne,helps,0.17189746574679887,0.2847141324134599,0.60375459514307
qaoa_p1,param_lam1,12000,zne_rem,helps,0.07742003741504604,0.2847141324134599,0.2719220038667318
qaoa_p1,param_lam1,24000,rem,helps,0.18063168009025227,0.28797663241345983,0.6272442266458341
qaoa_p1,param_lam1,24000,zne,helps,0.1755724657467977,0.28797663241345983,0.609676084741213
qaoa_p1,param_lam1,24000,zne_rem,helps,0.06584311655298833,0.28797663241345983,0.22864048378222115
qaoa_p1,param_lam2,1500,rem,helps,0.21696460264792208,0.5062891324134597,0.42853892915627206
qaoa_p1,param_lam2,1500,zne,inconclusive,0.42562246574680007,0.5062891324134597,0.840670752140926
qaoa_p1,param_lam2,1500,zne_rem,helps,0.25148759885252003,0.5062891324134597,0.49672723104619854
qaoa_p1,param_lam2,3000,rem,helps,0.29626904286366473,0.5197891324134599,0.569979294272742
qaoa_p1,param_lam2,3000,zne,helps,0.3623224657467968,0.5197891324134599,0.6970566392269083
qaoa_p1,param_lam2,3000,zne_rem,helps,0.14923416965698744,0.5197891324134599,0.2871052131545546
qaoa_p1,param_lam2,6000,rem,helps,0.33871232561973824,0.5138724657467931,0.6591369419404468
qaoa_p1,param_lam2,6000,zne,helps,0.31942246574679595,0.5138724657467931,0.6215987176557325
qaoa_p1,param_lam2,6000,zne_rem,helps,0.14953346088840966,0.5138724657467931,0.29099333172307223
qaoa_p1,param_lam2,12000,rem,helps,0.33841759168213964,0.5146724657467932,0.6575397251747157
qaoa_p1,param_lam2,12000,zne,helps,0.31089746574679766,0.5146724657467932,0.6040685803847762
qaoa_p1,param_lam2,12000,zne_rem,helps,0.12728839252278162,0.5146724657467932,0.24731921949250835
qaoa_p1,param_lam2,24000,rem,helps,0.33520636493060724,0.5178849657467931,0.6472602741947485
qaoa_p1,param_lam2,24000,zne,helps,0.31977246574679724,0.5178849657467931,0.6174584838269701
qaoa_p1,param_lam2,24000,zne_rem,helps,0.10424190142937198,0.5178849657467931,0.201283891836973
tfim,dev_algiers,1500,rem,inconclusive,0.1407209078067151,0.17129744301105143,0.8215003407706228
tfim,dev_algiers,1500,zne,inconclusive,0.1253384658066336,0.17129744301105143,0.7317007399727926
tfim,dev_algiers,1500,zne_rem,inconclusive,0.12749675023256932,0.17129744301105143,0.7443003701131938
tfim,dev_algiers,3000,rem,helps,0.08862342993264063,0.18449744301105114,0.48035045085872663
tfim,dev_algiers,3000,zne,inconclusive,0.122584621075511,0.18449744301105114,0.6644244986537204
tfim,dev_algiers,3000,zne_rem,inconclusive,0.1375677197355321,0.18449744301105114,0.7456348309786168
tfim,dev_algiers,6000,rem,helps,0.09505106228377827,0.18056410967771788,0.5264117130111369
tfim,dev_algiers,6000,zne,helps,0.1220307763443893,0.18056410967771788,0.675830742677476
tfim,dev_algiers,6000,zne_rem,helps,0.08737608372271391,0.18056410967771788,0.4839061532143249
tfim,dev_algiers,12000,rem,helps,0.08292635220263778,0.17153077634438452,0.4834488245779608
tfim,dev_algiers,12000,zne,helps,0.1123307763443889,0.17153077634438452,0.6548724301163366
tfim,dev_algiers,12000,zne_rem,helps,0.05738417665110011,0.17153077634438452,0.3345415783339613
tfim,dev_algiers,24000,rem,helps,0.07077794925058187,0.1664307763443847,0.42526959739781256
tfim,dev_algiers,24000,zne,helps,0.11418077634438717,0.1664307763443847,0.6860556614127672
tfim,dev_algiers,24000,zne_rem,helps,0.04280727317092916,0.1664307763443847,0.25720767583485143
tfim,dev_lagos,1500,rem,inconclusive,1.8620640603741827,2.391297443011051,0.7786835827623044
tfim,dev_lagos,1500,zne,helps,1.8270307763443845,2.391297443011051,0.764033258047498
