task,method,seed,observed_delta,n_obs,unphysical_in_loop,unphysical_frac,final_err
tfim,none,0,-0.7153333333333334,80,0,0.0,2.137770776344384
tfim,none,2,-1.294,80,0,0.0,3.5618907763443843
tfim,none,3,-1.2606666666666668,80,0,0.0,1.8201107763443845
tfim,none,1,-1.158,80,0,0.0,4.988150776344384
tfim,none,4,-0.4886666666666668,80,0,0.0,2.9374907763443847
tfim,zne,1,-3.8060000000000054,80,0,0.0,4.137810776344384
tfim,zne,0,-0.7680000000000023,80,0,0.0,3.2533707763443847
tfim,zne,2,-1.7379999999999995,80,0,0.0,2.9115907763443847
tfim,zne,3,-3.882000000000007,80,0,0.0,2.2705107763443846
tfim,rem,0,-1.6145289348705436,80,0,0.0,2.1897907763443847
tfim,rem,1,-5.531699598019965,80,0,0.0,2.5483307763443848
tfim,rem,2,-1.7365884023359666,80,0,0.0,4.925410776344385
tfim,rem,4,-0.7032818717235034,80,0,0.0,3.2665707763443845
tfim,rem,3,-3.1070749063720697,80,0,0.0,1.4917107763443846
tfim,zne,4,-1.122000000000003,80,0,0.0,3.0956507763443843
tfim,zne_rem,0,2.051059774145185,80,5,0.0625,3.7327107763443843
tfim,zne_rem,1,-6.165446983964574,80,11,0.1375,3.861450776344385
tfim,zne_rem,2,1.2590820973218957,80,22,0.275,5.598310776344384
tfim,zne_rem,3,-6.38082778507317,80,3,0.0375,3.4546107763443845
qaoa_p1,none,0,-0.5428333333333333,80,0,0.0,0.010742465746792718
qaoa_p1,none,1,-0.2603333333333335,80,0,0.0,0.0029474657467929433
qaoa_p1,none,2,-0.3070000000000004,80,0,0.0,0.0013024657467930467
qaoa_p1,none,3,-0.3904999999999994,80,0,0.0,0.002152465746792842
qaoa_p1,none,4,-0.168333333333333,80,0,0.0,0.005622465746792926
tfim,zne_rem,4,-1.742217843600045,80,0,0.0,4.736410776344385
qaoa_p1,zne,0,-1.007000000000005,80,0,0.0,0.007362465746792779
qaoa_p1,zne,1,-0.9955000000000025,80,0,0.0,0.01297746574679337
qaoa_p1,zne,2,-0.6555000000000009,80,0,0.0,0.0402174657467933
qaoa_p1,zne,3,-0.7365000000000048,80,0,0.0,0.04096246574679352
qaoa_p1,rem,0,-1.4006983052927646,80,0,0.0,0.051107465746793146
qaoa_p1,rem,1,-0.7936258095198241,80,0,0.0,0.014757465746793486
qaoa_p1,zne,4,-0.3129999999999997,80,0,0.0,0.016282465746793484
qaoa_p1,rem,2,-0.4515835894662894,80,0,0.0,0.0013124657467935563
qaoa_p1,rem,3,-1.006512041757368,80,0,0.0,0.18588746574679327
qaoa_p1,rem,4,-0.5175785660933352,80,0,0.0,0.010512465746793431
qaoa_p1,zne_rem,0,-0.4689579552673422,80,3,0.0375,1.7278724657467928
qaoa_p1,zne_rem,1,-1.7233499060566784,80,9,0.1125,0.3097324657467935
qaoa_p1,zne_rem,3,1.099035589244858,80,1,0.0125,1.5980624657467928
qaoa_p1,zne_rem,2,-0.5422776504675637,80,0,0.0,0.05244246574679323
qaoa_p1,zne_rem,4,-0.7314188283212957,80,0,0.0,0.14633246574679326
