family,noise,budget,method,n,mean_diff,sd_diff,ci_lo,ci_hi,p_wilcoxon,p_ttest,median_diff,mean_err_method,mean_err_none,ratio,mean_Cmax,effect_in_ratio_units,practically_meaningful,p_adj_BH,significant_BH_0.05,verdict
F2,dev_algiers,1500,zne,150,-0.10754502530982833,0.08994111557529541,-0.12201384012083889,-0.09325585505698075,7.585689379651815e-22,1.1889276905396041e-30,-0.1154492144519288,0.10916622101655958,0.21671124632638794,0.5037404512553297,7.0,-0.015363575044261191,True,2.5601701656324875e-21,True,helps (practically meaningful)
F2,dev_algiers,1500,rem,150,-0.038454236071181175,0.033747742901970794,-0.04440771758175644,-0.03353406463408958,8.188105085845711e-24,7.719400572443262e-29,-0.0347962826635011,0.1782570102552067,0.21671124632638794,0.8225554200668227,7.0,-0.005493462295883025,False,3.1582691045404883e-23,True,helps (below delta)
F2,dev_algiers,1500,zne_rem,150,-0.09623223981408086,0.10834855645851367,-0.11251663838548946,-0.07847304504541407,7.147038849203968e-17,1.1903002128016429e-20,-0.10462715470900608,0.120479006512307,0.21671124632638794,0.5559425666855058,7.0,-0.01374746283058298,True,1.0156318364658271e-16,True,helps (practically meaningful)
F2,dev_algiers,6000,zne,147,-0.14606855965099766,0.05669642346989588,-0.1553079004764552,-0.13702419449259456,7.153812438456195e-26,1.604785312563302e-66,-0.14720833333333072,0.06752190047781689,0.21359046012881455,0.3161278852861454,7.040816326530612,-0.0207459693417359,True,5.689608599653011e-25,True,helps (practically meaningful)
F2,dev_algiers,6000,rem,147,-0.038322883188848286,0.016149730791928708,-0.04092786467650776,-0.03572880699720133,8.42904977726372e-26,4.950254452236261e-62,-0.03834328582175406,0.17526757693996625,0.21359046012881455,0.820577739447089,7.040816326530612,-0.00544296022102483,False,5.689608599653011e-25,True,helps (below delta)
F2,dev_algiers,6000,zne_rem,147,-0.152141170063375,0.06122086408628137,-0.16171373759865204,-0.1422722242565457,7.153812438456195e-26,1.5345262890542257e-64,-0.16102057901196432,0.06144929006543956,0.21359046012881455,0.2876967914596,7.040816326530612,-0.021608456037986595,True,5.689608599653011e-25,True,helps (practically meaningful)
F2,dev_algiers,24000,zne,120,-0.1783614138797186,0.041777882767234174,-0.18585425047214496,-0.17109791451687123,1.9719517121524354e-21,1.89296064160107e-78,-0.17521874825771988,0.052134090415284384,0.23049550429500298,0.2261826779430796,7.5,-0.023781521850629147,True,4.754532608745188e-21,True,helps (practically meaningful)
F2,dev_algiers,24000,rem,120,-0.037218444380442715,0.008523669848020148,-0.038799259090985666,-0.03572191609449383,1.9719517121524354e-21,1.4857638393696087e-79,-0.03721649231545188,0.19327705991456026,0.23049550429500298,0.838528545299486,7.5,-0.004962459250725695,False,4.754532608745188e-21,True,helps (below delta)
F2,dev_algiers,24000,zne_rem,120,-0.20081124408628176,0.039822514818077435,-0.2080017684672193,-0.193947359558168,1.9719517121524354e-21,1.1223648965367488e-86,-0.1961496648049228,0.02968426020872125,0.23049550429500298,0.12878455178340234,7.5,-0.02677483254483757,True,4.754532608745188e-21,True,helps (practically meaningful)
F2,dev_lagos,1500,zne,150,-0.12427277777777611,0.14757168719425623,-0.14812307662153637,-0.10082118399788484,4.335276018386417e-16,3.7026242783858814e-19,-0.13174999999999826,0.9170073574375006,1.0412801352152767,0.8806538475334654,7.0,-0.01775325396825373,True,5.852622624821663e-16,True,helps (practically meaningful)
F2,dev_lagos,1500,rem,150,0.005232205202216831,0.247389580374971,-0.031700680499427265,0.047273216825903464,0.9648313663843384,0.795970098613125,0.014699825923725651,1.0465123404174939,1.0412801352152767,1.0050247815407862,7.0,0.0007474578860309759,False,0.9648313663843384,False,no resolvable difference
F2,dev_lagos,1500,zne_rem,150,-0.07958176872818118,0.3864331322197047,-0.1387947743537437,-0.017047440144705706,0.003004543102891035,0.012711740189736294,-0.0931265784013191,0.9616983664870956,1.0412801352152767,0.9235731422920805,7.0,-0.011368824104025883,True,0.0035270723381764318,True,helps (practically meaningful)
F2,dev_lagos,6000,zne,150,-0.10703458333333164,0.07082787540781563,-0.11853780060886114,-0.09596047474304131,7.213411489818981e-25,1.8707307840141402e-40,-0.10665624999999723,0.9273977741041672,1.0344323574374992,0.8965281948464194,7.0,-0.015290654761904521,True,3.89524220450225e-24,True,helps (practically meaningful)
F2,dev_lagos,6000,rem,150,-0.11262310716991844,0.199943345963631,-0.14310389087575615,-0.07999805699878995,2.2864735644984406e-10,1.398943664593433e-10,-0.09940363765577143,0.9218092502675805,1.0344323574374992,0.8911256919215973,7.0,-0.01608901530998835,True,2.939751725783709e-10,True,helps (practically meaningful)
F2,dev_lagos,6000,zne_rem,150,-0.08444511389342417,0.4155356807814775,-0.15012600658125874,-0.01732892777941376,0.0068386845441583575,0.013912825806371425,-0.09042715474142105,0.9499872435440746,1.0344323574374992,0.9183657459221283,7.0,-0.012063587699060596,True,0.007693520112178152,True,helps (practically meaningful)
F2,dev_lagos,24000,zne,150,-0.11765767361110956,0.04988394376839405,-0.12554479117438522,-0.10949603702880255,2.2996057560669792e-26,6.187110866795086e-63,-0.12168749999999662,0.9195541282708338,1.0372118018819436,0.8865635028471247,7.0,-0.016808239087301367,True,5.689608599653011e-25,True,helps (practically meaningful)
F2,dev_lagos,24000,rem,150,-0.3370310996751342,0.17100442297360788,-0.3598463089069799,-0.30416675798960774,5.806799995752013e-24,2.369122165988964e-53,-0.3679316333894098,0.7001807022068092,1.0372118018819436,0.6750604851741789,7.0,-0.04814729995359061,True,2.613059998088406e-23,True,helps (practically meaningful)
F2,dev_lagos,24000,zne_rem,150,-0.35007626020697086,0.3403586605094012,-0.40427468832129043,-0.2952826788893639,9.060723272144138e-21,3.1183485467411907e-25,-0.3300709710509606,0.6871355416749725,1.0372118018819436,0.6624833427735938,7.0,-0.05001089431528155,True,1.630930188985945e-20,True,helps (practically meaningful)
