task,noise,trivial_layout,initial_layout,routing_perm
tfim,ideal,True,None,None
tfim,dev_lagos,False,"[1, 0, 3, 2]","[0, 3, 2, 1]"
tfim,dev_algiers,True,None,None
tfim,param_lam0.5,True,None,None
tfim,param_lam1,True,None,None
tfim,param_lam2,True,None,None
qaoa_p1,ideal,True,None,None
qaoa_p1,dev_lagos,False,"[3, 5, 4, 1, 2, 0]","[5, 1, 2, 3, 4, 0]"
qaoa_p1,dev_algiers,False,"[5, 3, 2, 0, 1, 4]","[3, 0, 2, 4, 1, 5]"
qaoa_p1,param_lam0.5,True,None,None
qaoa_p1,param_lam1,True,None,None
qaoa_p1,param_lam2,True,None,None
