task,noise,method,seed,affected
tfim,dev_lagos,none,0,False
tfim,dev_lagos,none,2,False
tfim,dev_lagos,none,3,False
tfim,dev_lagos,none,1,False
tfim,dev_lagos,none,4,False
tfim,dev_lagos,zne,1,True
tfim,dev_lagos,zne,0,True
tfim,dev_lagos,zne,2,True
tfim,dev_lagos,zne,3,True
tfim,dev_lagos,rem,0,True
tfim,dev_lagos,rem,1,True
tfim,dev_lagos,rem,2,True
tfim,dev_lagos,rem,4,True
tfim,dev_lagos,rem,3,True
tfim,dev_lagos,zne,4,True
tfim,dev_lagos,zne_rem,0,True
tfim,dev_lagos,zne_rem,1,True
tfim,dev_lagos,zne_rem,2,True
tfim,dev_lagos,zne_rem,3,True
qaoa_p1,dev_lagos,none,0,False
qaoa_p1,dev_lagos,none,1,False
qaoa_p1,dev_lagos,none,2,False
qaoa_p1,dev_lagos,none,3,False
qaoa_p1,dev_lagos,none,4,False
tfim,dev_lagos,zne_rem,4,True
qaoa_p1,dev_lagos,zne,0,True
qaoa_p1,dev_lagos,zne,1,True
qaoa_p1,dev_lagos,zne,2,True
qaoa_p1,dev_lagos,zne,3,True
qaoa_p1,dev_lagos,rem,0,True
qaoa_p1,dev_lagos,rem,1,True
qaoa_p1,dev_lagos,zne,4,True
qaoa_p1,dev_lagos,rem,2,True
qaoa_p1,dev_lagos,rem,3,True
qaoa_p1,dev_lagos,rem,4,True
qaoa_p1,dev_lagos,zne_rem,0,True
qaoa_p1,dev_lagos,zne_rem,1,True
qaoa_p1,dev_lagos,zne_rem,3,True
qaoa_p1,dev_lagos,zne_rem,2,True
qaoa_p1,dev_lagos,zne_rem,4,True
