impl,noise,method,bias_norm,bias_lo,bias_hi,sd_norm,rmse_norm
v2,dev_algiers,none,-0.029898526406537364,-0.030222357792486814,-0.029573634725173464,0.0022721589352187616,0.030097208233407544
legacy,dev_algiers,rem,-0.023861756250277463,-0.024310039179057802,-0.02339431240401157,0.0032105682429973887,0.024227034240055404
v2,dev_algiers,rem,-0.024039301343512082,-0.024501791792590107,-0.023572456879454577,0.0032999328528724023,0.024407691996437712
legacy,dev_algiers,zne,0.07001466064335891,0.06777733509152363,0.07225822707027688,0.015769755176071317,0.08358899544472768
v2,dev_algiers,zne,-0.007011860107301929,-0.00829316077143329,-0.005714085192040715,0.008835528593849023,0.011241907007561974
legacy,dev_algiers,zne_rem,0.07849271789470763,0.07591464690062452,0.08105923990979884,0.01798350567590671,0.0923558955891026
v2,dev_algiers,zne_rem,-0.0010985121080124855,-0.0027457894624997427,0.0005807424513802021,0.011729231046841128,0.011769258026571614
v2,dev_lagos,none,-0.14640523569519107,-0.14688758587523223,-0.14592116709583777,0.003384998298495808,0.14915444320041196
legacy,dev_lagos,rem,-0.09785661060746358,-0.10552770561752711,-0.09061108679662658,0.052978678158033234,0.11290777386440135
v2,dev_lagos,rem,-0.13205691393463645,-0.13999799656003417,-0.12581433948298815,0.05105029411010259,0.14299493631668933
legacy,dev_lagos,zne,-0.10822296488022971,-0.10972898324029356,-0.1067225183999883,0.010451093776656864,0.10994035171722538
v2,dev_lagos,zne,-0.12932898022965636,-0.13086718513899276,-0.12776703081456042,0.010707725163357504,0.1333015653268407
legacy,dev_lagos,zne_rem,-0.07138772964085364,-0.08573471689433484,-0.057670654939838854,0.09851519350170812,0.12610643412951372
v2,dev_lagos,zne_rem,-0.13140782812589363,-0.1386989092269627,-0.12383129695394895,0.05200599821333128,0.1443392160391239
